date,Larry Fink (CEO of BlackRock)
2004-01-01,7
2004-02-01,80
2004-03-01,33
2004-04-01,26
2004-05-01,22
2004-06-01,11
2004-07-01,29
2004-08-01,11
2004-09-01,5
2004-10-01,10
2004-11-01,15
2004-12-01,5
2005-01-01,20
2005-02-01,26
2005-03-01,7
2005-04-01,12
2005-05-01,32
2005-06-01,39
2005-07-01,11
2005-08-01,7
2005-09-01,26
2005-10-01,24
2005-11-01,6
2005-12-01,9
2006-01-01,13
2006-02-01,53
2006-03-01,23
2006-04-01,20
2006-05-01,18
2006-06-01,9
2006-07-01,5
2006-08-01,11
2006-09-01,25
2006-10-01,4
2006-11-01,19
2006-12-01,14
2007-01-01,12
2007-02-01,16
2007-03-01,16
2007-04-01,19
2007-05-01,10
2007-06-01,9
2007-07-01,7
2007-08-01,15
2007-09-01,22
2007-10-01,54
2007-11-01,73
2007-12-01,24
2008-01-01,15
2008-02-01,11
2008-03-01,22
2008-04-01,18
2008-05-01,15
2008-06-01,11
2008-07-01,20
2008-08-01,8
2008-09-01,13
2008-10-01,24
2008-11-01,18
2008-12-01,11
2009-01-01,8
2009-02-01,16
2009-03-01,15
2009-04-01,12
2009-05-01,19
2009-06-01,42
2009-07-01,15
2009-08-01,9
2009-09-01,19
2009-10-01,21
2009-11-01,29
2009-12-01,14
2010-01-01,11
2010-02-01,12
2010-03-01,22
2010-04-01,26
2010-05-01,20
2010-06-01,7
2010-07-01,18
2010-08-01,13
2010-09-01,10
2010-10-01,20
2010-11-01,22
2010-12-01,16
2011-01-01,14
2011-02-01,20
2011-03-01,23
2011-04-01,18
2011-05-01,16
2011-06-01,23
2011-07-01,15
2011-08-01,18
2011-09-01,18
2011-10-01,15
2011-11-01,40
2011-12-01,9
2012-01-01,19
2012-02-01,20
2012-03-01,14
2012-04-01,13
2012-05-01,18
2012-06-01,23
2012-07-01,12
2012-08-01,10
2012-09-01,16
2012-10-01,24
2012-11-01,24
2012-12-01,18
2013-01-01,10
2013-02-01,11
2013-03-01,14
2013-04-01,14
2013-05-01,15
2013-06-01,11
2013-07-01,14
2013-08-01,9
2013-09-01,13
2013-10-01,25
2013-11-01,21
2013-12-01,21
2014-01-01,53
2014-02-01,26
2014-03-01,18
2014-04-01,20
2014-05-01,23
2014-06-01,19
2014-07-01,25
2014-08-01,15
2014-09-01,15
2014-10-01,19
2014-11-01,12
2014-12-01,17
2015-01-01,20
2015-02-01,33
2015-03-01,25
2015-04-01,35
2015-05-01,21
2015-06-01,19
2015-07-01,35
2015-08-01,23
2015-09-01,24
2015-10-01,20
2015-11-01,17
2015-12-01,18
2016-01-01,28
2016-02-01,33
2016-03-01,17
2016-04-01,24
2016-05-01,18
2016-06-01,23
2016-07-01,21
2016-08-01,15
2016-09-01,82
2016-10-01,32
2016-11-01,24
2016-12-01,19
2017-01-01,27
2017-02-01,27
2017-03-01,21
2017-04-01,41
2017-05-01,26
2017-06-01,31
2017-07-01,22
2017-08-01,20
2017-09-01,21
2017-10-01,27
2017-11-01,18
2017-12-01,16
2018-01-01,63
2018-02-01,57
2018-03-01,29
2018-04-01,44
2018-05-01,47
2018-06-01,27
2018-07-01,31
2018-08-01,27
2018-09-01,29
2018-10-01,39
2018-11-01,38
2018-12-01,23
2019-01-01,42
2019-02-01,24
2019-03-01,21
2019-04-01,39
2019-05-01,24
2019-06-01,20
2019-07-01,25
2019-08-01,22
2019-09-01,58
2019-10-01,39
2019-11-01,23
2019-12-01,27
2020-01-01,97
2020-02-01,67
2020-03-01,57
2020-04-01,74
2020-05-01,71
2020-06-01,43
2020-07-01,39
2020-08-01,32
2020-09-01,31
2020-10-01,36
2020-11-01,47
2020-12-01,46
2021-01-01,62
2021-02-01,50
2021-03-01,25
2021-04-01,41
2021-05-01,24
2021-06-01,44
2021-07-01,46
2021-08-01,42
2021-09-01,41
2021-10-01,74
2021-11-01,67
2021-12-01,49
2022-01-01,100
2022-02-01,84
