date,KR
2004-01-01,57
2004-02-01,37
2004-03-01,36
2004-04-01,38
2004-05-01,34
2004-06-01,36
2004-07-01,36
2004-08-01,38
2004-09-01,33
2004-10-01,36
2004-11-01,28
2004-12-01,39
2005-01-01,34
2005-02-01,27
2005-03-01,37
2005-04-01,43
2005-05-01,29
2005-06-01,34
2005-07-01,38
2005-08-01,29
2005-09-01,39
2005-10-01,40
2005-11-01,38
2005-12-01,39
2006-01-01,41
2006-02-01,32
2006-03-01,40
2006-04-01,38
2006-05-01,34
2006-06-01,36
2006-07-01,35
2006-08-01,38
2006-09-01,41
2006-10-01,47
2006-11-01,39
2006-12-01,37
2007-01-01,51
2007-02-01,41
2007-03-01,38
2007-04-01,62
2007-05-01,54
2007-06-01,50
2007-07-01,55
2007-08-01,54
2007-09-01,51
2007-10-01,55
2007-11-01,47
2007-12-01,47
2008-01-01,57
2008-02-01,72
2008-03-01,63
2008-04-01,49
2008-05-01,49
2008-06-01,53
2008-07-01,48
2008-08-01,53
2008-09-01,54
2008-10-01,53
2008-11-01,54
2008-12-01,52
2009-01-01,60
2009-02-01,58
2009-03-01,56
2009-04-01,56
2009-05-01,50
2009-06-01,54
2009-07-01,53
2009-08-01,52
2009-09-01,53
2009-10-01,53
2009-11-01,51
2009-12-01,52
2010-01-01,53
2010-02-01,55
2010-03-01,51
2010-04-01,56
2010-05-01,57
2010-06-01,54
2010-07-01,54
2010-08-01,55
2010-09-01,58
2010-10-01,57
2010-11-01,57
2010-12-01,57
2011-01-01,53
2011-02-01,49
2011-03-01,49
2011-04-01,47
2011-05-01,48
2011-06-01,51
2011-07-01,47
2011-08-01,47
2011-09-01,48
2011-10-01,48
2011-11-01,50
2011-12-01,50
2012-01-01,53
2012-02-01,54
2012-03-01,50
2012-04-01,57
2012-05-01,100
2012-06-01,65
2012-07-01,62
2012-08-01,58
2012-09-01,56
2012-10-01,55
2012-11-01,59
2012-12-01,54
2013-01-01,58
2013-02-01,55
2013-03-01,53
2013-04-01,49
2013-05-01,50
2013-06-01,52
2013-07-01,49
2013-08-01,51
2013-09-01,52
2013-10-01,54
2013-11-01,52
2013-12-01,56
2014-01-01,57
2014-02-01,54
2014-03-01,58
2014-04-01,52
2014-05-01,56
2014-06-01,63
2014-07-01,63
2014-08-01,64
2014-09-01,73
2014-10-01,73
2014-11-01,74
2014-12-01,77
2015-01-01,84
2015-02-01,88
2015-03-01,87
2015-04-01,87
2015-05-01,78
2015-06-01,78
2015-07-01,64
2015-08-01,65
2015-09-01,69
2015-10-01,71
2015-11-01,86
2015-12-01,87
2016-01-01,74
2016-02-01,71
2016-03-01,73
2016-04-01,66
2016-05-01,66
2016-06-01,64
2016-07-01,63
2016-08-01,69
2016-09-01,81
2016-10-01,74
2016-11-01,74
2016-12-01,76
2017-01-01,68
2017-02-01,69
2017-03-01,76
2017-04-01,69
2017-05-01,67
2017-06-01,90
2017-07-01,77
2017-08-01,78
2017-09-01,85
2017-10-01,84
2017-11-01,83
2017-12-01,75
2018-01-01,77
2018-02-01,74
2018-03-01,80
2018-04-01,71
2018-05-01,70
2018-06-01,74
2018-07-01,70
2018-08-01,74
2018-09-01,79
2018-10-01,83
2018-11-01,71
2018-12-01,68
2019-01-01,71
2019-02-01,70
2019-03-01,75
2019-04-01,71
2019-05-01,67
2019-06-01,68
2019-07-01,80
2019-08-01,70
2019-09-01,82
2019-10-01,78
2019-11-01,78
2019-12-01,73
2020-01-01,73
2020-02-01,81
2020-03-01,84
2020-04-01,86
2020-05-01,83
2020-06-01,91
2020-07-01,78
2020-08-01,82
2020-09-01,90
2020-10-01,93
2020-11-01,87
2020-12-01,91
2021-01-01,87
2021-02-01,89
2021-03-01,84
2021-04-01,78
2021-05-01,81
2021-06-01,78
2021-07-01,77
2021-08-01,83
2021-09-01,86
2021-10-01,88
2021-11-01,91
2021-12-01,84
2022-01-01,83
2022-02-01,85
