date,MON
2004-01-01,57
2004-02-01,60
2004-03-01,51
2004-04-01,54
2004-05-01,48
2004-06-01,59
2004-07-01,54
2004-08-01,57
2004-09-01,54
2004-10-01,51
2004-11-01,52
2004-12-01,53
2005-01-01,52
2005-02-01,58
2005-03-01,52
2005-04-01,56
2005-05-01,63
2005-06-01,54
2005-07-01,61
2005-08-01,52
2005-09-01,55
2005-10-01,51
2005-11-01,50
2005-12-01,51
2006-01-01,55
2006-02-01,58
2006-03-01,54
2006-04-01,55
2006-05-01,52
2006-06-01,52
2006-07-01,52
2006-08-01,53
2006-09-01,53
2006-10-01,59
2006-11-01,59
2006-12-01,48
2007-01-01,58
2007-02-01,62
2007-03-01,59
2007-04-01,60
2007-05-01,61
2007-06-01,61
2007-07-01,61
2007-08-01,65
2007-09-01,62
2007-10-01,66
2007-11-01,64
2007-12-01,63
2008-01-01,72
2008-02-01,72
2008-03-01,74
2008-04-01,71
2008-05-01,68
2008-06-01,65
2008-07-01,67
2008-08-01,60
2008-09-01,65
2008-10-01,63
2008-11-01,67
2008-12-01,67
2009-01-01,74
2009-02-01,73
2009-03-01,75
2009-04-01,68
2009-05-01,74
2009-06-01,75
2009-07-01,74
2009-08-01,69
2009-09-01,71
2009-10-01,75
2009-11-01,76
2009-12-01,74
2010-01-01,83
2010-02-01,82
2010-03-01,76
2010-04-01,76
2010-05-01,80
2010-06-01,72
2010-07-01,86
2010-08-01,79
2010-09-01,80
2010-10-01,87
2010-11-01,88
2010-12-01,94
2011-01-01,69
2011-02-01,76
2011-03-01,65
2011-04-01,66
2011-05-01,64
2011-06-01,65
2011-07-01,65
2011-08-01,66
2011-09-01,65
2011-10-01,62
2011-11-01,61
2011-12-01,64
2012-01-01,71
2012-02-01,68
2012-03-01,65
2012-04-01,62
2012-05-01,73
2012-06-01,67
2012-07-01,73
2012-08-01,67
2012-09-01,71
2012-10-01,75
2012-11-01,71
2012-12-01,71
2013-01-01,80
2013-02-01,81
2013-03-01,83
2013-04-01,79
2013-05-01,77
2013-06-01,75
2013-07-01,78
2013-08-01,72
2013-09-01,67
2013-10-01,71
2013-11-01,73
2013-12-01,78
2014-01-01,83
2014-02-01,84
2014-03-01,79
2014-04-01,79
2014-05-01,83
2014-06-01,84
2014-07-01,87
2014-08-01,82
2014-09-01,83
2014-10-01,79
2014-11-01,82
2014-12-01,84
2015-01-01,92
2015-02-01,95
2015-03-01,94
2015-04-01,100
2015-05-01,92
2015-06-01,90
2015-07-01,78
2015-08-01,77
2015-09-01,77
2015-10-01,82
2015-11-01,91
2015-12-01,93
2016-01-01,83
2016-02-01,82
2016-03-01,77
2016-04-01,84
2016-05-01,81
2016-06-01,79
2016-07-01,90
2016-08-01,83
2016-09-01,85
2016-10-01,81
2016-11-01,90
2016-12-01,97
2017-01-01,88
2017-02-01,86
2017-03-01,89
2017-04-01,79
2017-05-01,85
2017-06-01,85
2017-07-01,84
2017-08-01,80
2017-09-01,77
2017-10-01,81
2017-11-01,85
2017-12-01,87
2018-01-01,86
2018-02-01,85
2018-03-01,79
2018-04-01,82
2018-05-01,81
2018-06-01,79
2018-07-01,82
2018-08-01,77
2018-09-01,76
2018-10-01,77
2018-11-01,78
2018-12-01,78
2019-01-01,80
2019-02-01,79
2019-03-01,75
2019-04-01,76
2019-05-01,75
2019-06-01,75
2019-07-01,72
2019-08-01,82
2019-09-01,75
2019-10-01,76
2019-11-01,100
2019-12-01,85
2020-01-01,84
2020-02-01,83
2020-03-01,72
2020-04-01,75
2020-05-01,75
2020-06-01,79
2020-07-01,76
2020-08-01,73
2020-09-01,76
2020-10-01,80
2020-11-01,73
2020-12-01,83
2021-01-01,79
2021-02-01,85
2021-03-01,80
2021-04-01,83
2021-05-01,81
2021-06-01,82
2021-07-01,82
2021-08-01,82
2021-09-01,87
2021-10-01,88
2021-11-01,90
2021-12-01,92
2022-01-01,95
2022-02-01,91
