date,AVB
2004-01-01,58
2004-02-01,51
2004-03-01,43
2004-04-01,71
2004-05-01,35
2004-06-01,46
2004-07-01,32
2004-08-01,47
2004-09-01,50
2004-10-01,37
2004-11-01,67
2004-12-01,51
2005-01-01,52
2005-02-01,47
2005-03-01,43
2005-04-01,31
2005-05-01,24
2005-06-01,63
2005-07-01,21
2005-08-01,94
2005-09-01,63
2005-10-01,28
2005-11-01,49
2005-12-01,33
2006-01-01,47
2006-02-01,45
2006-03-01,43
2006-04-01,45
2006-05-01,42
2006-06-01,33
2006-07-01,25
2006-08-01,34
2006-09-01,25
2006-10-01,17
2006-11-01,23
2006-12-01,21
2007-01-01,29
2007-02-01,32
2007-03-01,24
2007-04-01,34
2007-05-01,30
2007-06-01,32
2007-07-01,28
2007-08-01,44
2007-09-01,34
2007-10-01,31
2007-11-01,41
2007-12-01,39
2008-01-01,36
2008-02-01,19
2008-03-01,27
2008-04-01,33
2008-05-01,30
2008-06-01,27
2008-07-01,29
2008-08-01,32
2008-09-01,31
2008-10-01,27
2008-11-01,28
2008-12-01,28
2009-01-01,32
2009-02-01,41
2009-03-01,31
2009-04-01,39
2009-05-01,47
2009-06-01,31
2009-07-01,30
2009-08-01,41
2009-09-01,21
2009-10-01,37
2009-11-01,31
2009-12-01,25
2010-01-01,33
2010-02-01,27
2010-03-01,40
2010-04-01,35
2010-05-01,39
2010-06-01,31
2010-07-01,30
2010-08-01,31
2010-09-01,33
2010-10-01,33
2010-11-01,28
2010-12-01,35
2011-01-01,28
2011-02-01,37
2011-03-01,31
2011-04-01,31
2011-05-01,33
2011-06-01,36
2011-07-01,32
2011-08-01,37
2011-09-01,28
2011-10-01,31
2011-11-01,25
2011-12-01,39
2012-01-01,39
2012-02-01,45
2012-03-01,63
2012-04-01,35
2012-05-01,46
2012-06-01,41
2012-07-01,57
2012-08-01,50
2012-09-01,49
2012-10-01,52
2012-11-01,48
2012-12-01,39
2013-01-01,45
2013-02-01,51
2013-03-01,59
2013-04-01,51
2013-05-01,61
2013-06-01,48
2013-07-01,49
2013-08-01,43
2013-09-01,54
2013-10-01,44
2013-11-01,42
2013-12-01,100
2014-01-01,54
2014-02-01,51
2014-03-01,50
2014-04-01,53
2014-05-01,49
2014-06-01,41
2014-07-01,54
2014-08-01,58
2014-09-01,42
2014-10-01,45
2014-11-01,46
2014-12-01,47
2015-01-01,45
2015-02-01,57
2015-03-01,50
2015-04-01,48
2015-05-01,51
2015-06-01,47
2015-07-01,52
2015-08-01,57
2015-09-01,56
2015-10-01,53
2015-11-01,45
2015-12-01,51
2016-01-01,48
2016-02-01,47
2016-03-01,52
2016-04-01,54
2016-05-01,44
2016-06-01,49
2016-07-01,46
2016-08-01,47
2016-09-01,50
2016-10-01,47
2016-11-01,47
2016-12-01,46
2017-01-01,42
2017-02-01,51
2017-03-01,56
2017-04-01,42
2017-05-01,47
2017-06-01,43
2017-07-01,50
2017-08-01,48
2017-09-01,44
2017-10-01,40
2017-11-01,40
2017-12-01,42
2018-01-01,46
2018-02-01,51
2018-03-01,51
2018-04-01,50
2018-05-01,46
2018-06-01,51
2018-07-01,44
2018-08-01,55
2018-09-01,40
2018-10-01,46
2018-11-01,42
2018-12-01,45
2019-01-01,51
2019-02-01,51
2019-03-01,50
2019-04-01,56
2019-05-01,43
2019-06-01,48
2019-07-01,48
2019-08-01,42
2019-09-01,39
2019-10-01,46
2019-11-01,44
2019-12-01,49
2020-01-01,51
2020-02-01,46
2020-03-01,61
2020-04-01,54
2020-05-01,53
2020-06-01,58
2020-07-01,64
2020-08-01,53
2020-09-01,60
2020-10-01,63
2020-11-01,62
2020-12-01,47
2021-01-01,47
2021-02-01,50
2021-03-01,47
2021-04-01,51
2021-05-01,49
2021-06-01,48
2021-07-01,45
2021-08-01,42
2021-09-01,48
2021-10-01,44
2021-11-01,43
2021-12-01,46
2022-01-01,43
2022-02-01,44
