date,Mauricio Gutierrez
2004-01-01,30
2004-02-01,29
2004-03-01,0
2004-04-01,85
2004-05-01,24
2004-06-01,49
2004-07-01,25
2004-08-01,94
2004-09-01,22
2004-10-01,89
2004-11-01,0
2004-12-01,21
2005-01-01,18
2005-02-01,38
2005-03-01,80
2005-04-01,0
2005-05-01,31
2005-06-01,47
2005-07-01,0
2005-08-01,16
2005-09-01,42
2005-10-01,13
2005-11-01,13
2005-12-01,26
2006-01-01,45
2006-02-01,58
2006-03-01,20
2006-04-01,53
2006-05-01,29
2006-06-01,10
2006-07-01,42
2006-08-01,48
2006-09-01,0
2006-10-01,17
2006-11-01,33
2006-12-01,0
2007-01-01,29
2007-02-01,23
2007-03-01,14
2007-04-01,56
2007-05-01,30
2007-06-01,25
2007-07-01,18
2007-08-01,47
2007-09-01,29
2007-10-01,21
2007-11-01,35
2007-12-01,27
2008-01-01,38
2008-02-01,34
2008-03-01,27
2008-04-01,32
2008-05-01,40
2008-06-01,22
2008-07-01,35
2008-08-01,31
2008-09-01,28
2008-10-01,22
2008-11-01,27
2008-12-01,50
2009-01-01,77
2009-02-01,33
2009-03-01,52
2009-04-01,31
2009-05-01,48
2009-06-01,29
2009-07-01,32
2009-08-01,51
2009-09-01,42
2009-10-01,34
2009-11-01,45
2009-12-01,69
2010-01-01,63
2010-02-01,28
2010-03-01,59
2010-04-01,52
2010-05-01,100
2010-06-01,57
2010-07-01,70
2010-08-01,63
2010-09-01,61
2010-10-01,43
2010-11-01,65
2010-12-01,36
2011-01-01,33
2011-02-01,32
2011-03-01,37
2011-04-01,43
2011-05-01,50
2011-06-01,59
2011-07-01,41
2011-08-01,54
2011-09-01,57
2011-10-01,46
2011-11-01,38
2011-12-01,36
2012-01-01,39
2012-02-01,28
2012-03-01,35
2012-04-01,54
2012-05-01,46
2012-06-01,49
2012-07-01,39
2012-08-01,43
2012-09-01,40
2012-10-01,35
2012-11-01,42
2012-12-01,41
2013-01-01,49
2013-02-01,52
2013-03-01,22
2013-04-01,45
2013-05-01,30
2013-06-01,31
2013-07-01,38
2013-08-01,40
2013-09-01,44
2013-10-01,26
2013-11-01,32
2013-12-01,33
2014-01-01,28
2014-02-01,27
2014-03-01,46
2014-04-01,39
2014-05-01,37
2014-06-01,49
2014-07-01,32
2014-08-01,38
2014-09-01,36
2014-10-01,38
2014-11-01,33
2014-12-01,38
2015-01-01,34
2015-02-01,30
2015-03-01,36
2015-04-01,36
2015-05-01,52
2015-06-01,36
2015-07-01,38
2015-08-01,33
2015-09-01,47
2015-10-01,35
2015-11-01,33
2015-12-01,42
2016-01-01,36
2016-02-01,34
2016-03-01,37
2016-04-01,37
2016-05-01,38
2016-06-01,21
2016-07-01,30
2016-08-01,25
2016-09-01,34
2016-10-01,25
2016-11-01,31
2016-12-01,14
2017-01-01,33
2017-02-01,35
2017-03-01,24
2017-04-01,23
2017-05-01,26
2017-06-01,25
2017-07-01,29
2017-08-01,32
2017-09-01,29
2017-10-01,21
2017-11-01,23
2017-12-01,19
2018-01-01,26
2018-02-01,32
2018-03-01,20
2018-04-01,26
2018-05-01,19
2018-06-01,22
2018-07-01,27
2018-08-01,34
2018-09-01,25
2018-10-01,18
2018-11-01,23
2018-12-01,21
2019-01-01,18
2019-02-01,21
2019-03-01,30
2019-04-01,21
2019-05-01,21
2019-06-01,26
2019-07-01,28
2019-08-01,26
2019-09-01,22
2019-10-01,26
2019-11-01,24
2019-12-01,18
2020-01-01,21
2020-02-01,29
2020-03-01,25
2020-04-01,15
2020-05-01,20
2020-06-01,18
2020-07-01,25
2020-08-01,22
2020-09-01,28
2020-10-01,27
2020-11-01,18
2020-12-01,22
2021-01-01,22
2021-02-01,22
2021-03-01,17
2021-04-01,18
2021-05-01,34
2021-06-01,17
2021-07-01,22
2021-08-01,27
2021-09-01,14
2021-10-01,19
2021-11-01,17
2021-12-01,17
2022-01-01,17
2022-02-01,19
