date,STR
2004-01-01,48
2004-02-01,47
2004-03-01,56
2004-04-01,56
2004-05-01,48
2004-06-01,42
2004-07-01,50
2004-08-01,35
2004-09-01,45
2004-10-01,48
2004-11-01,43
2004-12-01,57
2005-01-01,53
2005-02-01,46
2005-03-01,44
2005-04-01,43
2005-05-01,56
2005-06-01,44
2005-07-01,57
2005-08-01,51
2005-09-01,46
2005-10-01,44
2005-11-01,44
2005-12-01,54
2006-01-01,42
2006-02-01,51
2006-03-01,52
2006-04-01,44
2006-05-01,47
2006-06-01,60
2006-07-01,52
2006-08-01,47
2006-09-01,54
2006-10-01,49
2006-11-01,52
2006-12-01,51
2007-01-01,54
2007-02-01,50
2007-03-01,51
2007-04-01,54
2007-05-01,56
2007-06-01,58
2007-07-01,61
2007-08-01,54
2007-09-01,61
2007-10-01,54
2007-11-01,54
2007-12-01,61
2008-01-01,61
2008-02-01,60
2008-03-01,64
2008-04-01,62
2008-05-01,63
2008-06-01,69
2008-07-01,69
2008-08-01,64
2008-09-01,67
2008-10-01,64
2008-11-01,65
2008-12-01,65
2009-01-01,77
2009-02-01,70
2009-03-01,68
2009-04-01,68
2009-05-01,70
2009-06-01,71
2009-07-01,69
2009-08-01,71
2009-09-01,72
2009-10-01,72
2009-11-01,79
2009-12-01,76
2010-01-01,81
2010-02-01,72
2010-03-01,82
2010-04-01,86
2010-05-01,81
2010-06-01,87
2010-07-01,81
2010-08-01,80
2010-09-01,87
2010-10-01,94
2010-11-01,94
2010-12-01,100
2011-01-01,83
2011-02-01,91
2011-03-01,73
2011-04-01,76
2011-05-01,73
2011-06-01,77
2011-07-01,75
2011-08-01,75
2011-09-01,72
2011-10-01,71
2011-11-01,70
2011-12-01,77
2012-01-01,77
2012-02-01,77
2012-03-01,71
2012-04-01,67
2012-05-01,63
2012-06-01,68
2012-07-01,68
2012-08-01,65
2012-09-01,66
2012-10-01,67
2012-11-01,64
2012-12-01,65
2013-01-01,64
2013-02-01,71
2013-03-01,69
2013-04-01,67
2013-05-01,70
2013-06-01,67
2013-07-01,70
2013-08-01,66
2013-09-01,70
2013-10-01,70
2013-11-01,74
2013-12-01,72
2014-01-01,68
2014-02-01,76
2014-03-01,77
2014-04-01,79
2014-05-01,80
2014-06-01,79
2014-07-01,78
2014-08-01,75
2014-09-01,77
2014-10-01,75
2014-11-01,71
2014-12-01,74
2015-01-01,74
2015-02-01,78
2015-03-01,84
2015-04-01,82
2015-05-01,77
2015-06-01,79
2015-07-01,79
2015-08-01,80
2015-09-01,78
2015-10-01,78
2015-11-01,75
2015-12-01,87
2016-01-01,81
2016-02-01,83
2016-03-01,79
2016-04-01,82
2016-05-01,79
2016-06-01,77
2016-07-01,72
2016-08-01,74
2016-09-01,73
2016-10-01,73
2016-11-01,73
2016-12-01,75
2017-01-01,74
2017-02-01,77
2017-03-01,77
2017-04-01,77
2017-05-01,79
2017-06-01,75
2017-07-01,78
2017-08-01,77
2017-09-01,72
2017-10-01,77
2017-11-01,77
2017-12-01,83
2018-01-01,80
2018-02-01,83
2018-03-01,80
2018-04-01,79
2018-05-01,76
2018-06-01,74
2018-07-01,84
2018-08-01,77
2018-09-01,84
2018-10-01,75
2018-11-01,76
2018-12-01,76
2019-01-01,77
2019-02-01,84
2019-03-01,77
2019-04-01,78
2019-05-01,99
2019-06-01,74
2019-07-01,79
2019-08-01,76
2019-09-01,81
2019-10-01,77
2019-11-01,79
2019-12-01,77
2020-01-01,77
2020-02-01,83
2020-03-01,71
2020-04-01,74
2020-05-01,75
2020-06-01,73
2020-07-01,83
2020-08-01,73
2020-09-01,77
2020-10-01,76
2020-11-01,72
2020-12-01,73
2021-01-01,72
2021-02-01,76
2021-03-01,77
2021-04-01,80
2021-05-01,80
2021-06-01,76
2021-07-01,81
2021-08-01,81
2021-09-01,79
2021-10-01,85
2021-11-01,90
2021-12-01,81
2022-01-01,85
2022-02-01,93
