date,Amy Bowen
2004-01-01,46
2004-02-01,0
2004-03-01,0
2004-04-01,43
2004-05-01,40
2004-06-01,81
2004-07-01,42
2004-08-01,0
2004-09-01,36
2004-10-01,74
2004-11-01,38
2004-12-01,0
2005-01-01,0
2005-02-01,0
2005-03-01,26
2005-04-01,30
2005-05-01,81
2005-06-01,28
2005-07-01,55
2005-08-01,26
2005-09-01,24
2005-10-01,89
2005-11-01,23
2005-12-01,0
2006-01-01,19
2006-02-01,20
2006-03-01,18
2006-04-01,37
2006-05-01,53
2006-06-01,56
2006-07-01,0
2006-08-01,0
2006-09-01,100
2006-10-01,30
2006-11-01,30
2006-12-01,30
2007-01-01,40
2007-02-01,42
2007-03-01,13
2007-04-01,13
2007-05-01,59
2007-06-01,75
2007-07-01,59
2007-08-01,34
2007-09-01,57
2007-10-01,20
2007-11-01,20
2007-12-01,53
2008-01-01,19
2008-02-01,19
2008-03-01,28
2008-04-01,28
2008-05-01,46
2008-06-01,30
2008-07-01,56
2008-08-01,9
2008-09-01,26
2008-10-01,8
2008-11-01,9
2008-12-01,26
2009-01-01,40
2009-02-01,8
2009-03-01,15
2009-04-01,31
2009-05-01,32
2009-06-01,24
2009-07-01,16
2009-08-01,8
2009-09-01,22
2009-10-01,14
2009-11-01,37
2009-12-01,21
2010-01-01,54
2010-02-01,21
2010-03-01,6
2010-04-01,40
2010-05-01,35
2010-06-01,28
2010-07-01,30
2010-08-01,12
2010-09-01,23
2010-10-01,6
2010-11-01,11
2010-12-01,38
2011-01-01,30
2011-02-01,32
2011-03-01,21
2011-04-01,21
2011-05-01,17
2011-06-01,13
2011-07-01,30
2011-08-01,47
2011-09-01,31
2011-10-01,29
2011-11-01,53
2011-12-01,22
2012-01-01,24
2012-02-01,27
2012-03-01,33
2012-04-01,28
2012-05-01,20
2012-06-01,10
2012-07-01,13
2012-08-01,22
2012-09-01,39
2012-10-01,33
2012-11-01,25
2012-12-01,36
2013-01-01,50
2013-02-01,30
2013-03-01,30
2013-04-01,19
2013-05-01,28
2013-06-01,37
2013-07-01,3
2013-08-01,47
2013-09-01,27
2013-10-01,45
2013-11-01,33
2013-12-01,48
2014-01-01,54
2014-02-01,36
2014-03-01,28
2014-04-01,24
2014-05-01,42
2014-06-01,19
2014-07-01,36
2014-08-01,53
2014-09-01,23
2014-10-01,22
2014-11-01,35
2014-12-01,23
2015-01-01,19
2015-02-01,9
2015-03-01,28
2015-04-01,29
2015-05-01,15
2015-06-01,28
2015-07-01,24
2015-08-01,38
2015-09-01,34
2015-10-01,16
2015-11-01,31
2015-12-01,41
2016-01-01,31
2016-02-01,19
2016-03-01,32
2016-04-01,9
2016-05-01,22
2016-06-01,19
2016-07-01,40
2016-08-01,19
2016-09-01,16
2016-10-01,35
2016-11-01,22
2016-12-01,21
2017-01-01,8
2017-02-01,6
2017-03-01,32
2017-04-01,24
2017-05-01,17
2017-06-01,15
2017-07-01,15
2017-08-01,17
2017-09-01,14
2017-10-01,22
2017-11-01,20
2017-12-01,22
2018-01-01,13
2018-02-01,21
2018-03-01,11
2018-04-01,18
2018-05-01,12
2018-06-01,12
2018-07-01,20
2018-08-01,10
2018-09-01,14
2018-10-01,12
2018-11-01,18
2018-12-01,16
2019-01-01,15
2019-02-01,24
2019-03-01,12
2019-04-01,12
2019-05-01,10
2019-06-01,14
2019-07-01,10
2019-08-01,25
2019-09-01,13
2019-10-01,16
2019-11-01,22
2019-12-01,13
2020-01-01,17
2020-02-01,22
2020-03-01,8
2020-04-01,8
2020-05-01,6
2020-06-01,8
2020-07-01,18
2020-08-01,18
2020-09-01,15
2020-10-01,18
2020-11-01,9
2020-12-01,9
2021-01-01,11
2021-02-01,4
2021-03-01,9
2021-04-01,11
2021-05-01,13
2021-06-01,10
2021-07-01,13
2021-08-01,6
2021-09-01,6
2021-10-01,14
2021-11-01,6
2021-12-01,18
2022-01-01,24
2022-02-01,3
